teamID,gameID,shotsOnTarget,shots,goals,location,deep,ppda,fouls,corners,yellowCards,redCards,result
89,81,1,9,1,h,4,13.8261,12,1,2,0,W
82,81,4,9,0,a,10,8.2188,12,2,3,0,L
73,82,2,11,0,h,11,6.9,13,6,3,0,L
71,82,3,7,1,a,2,11.8462,13,3,4,0,W
72,83,5,10,2,h,5,6.65,7,8,1,0,D
90,83,5,11,2,a,4,17.1579,13,2,2,0,D
75,84,8,19,4,h,5,10.88,13,6,2,0,W
77,84,5,11,2,a,6,9.5556,17,3,4,0,L
79,85,6,17,1,h,5,5.7368,14,1,1,0,L
78,85,7,11,3,a,10,10.625,20,4,0,0,W
80,86,3,11,2,h,10,10.3636,15,4,1,1,D
84,86,10,17,2,a,5,8.8333,16,8,3,0,D
86,87,4,9,2,h,3,12.7222,9,6,2,0,D
74,87,4,14,2,a,5,7.0,12,6,4,0,D
83,88,6,22,0,h,11,8.1667,12,5,1,0,L
81,88,4,8,2,a,0,12.4545,9,4,3,0,W
85,89,1,7,0,h,2,11.913,9,3,2,0,L
87,89,3,8,1,a,5,9.3462,16,5,4,0,W
76,90,2,9,0,h,4,23.2941,12,6,4,0,L
88,90,7,20,3,a,8,8.087,9,6,1,0,W
71,91,1,5,0,h,3,10.0333,14,3,2,0,L
89,91,2,9,1,a,5,9.5,10,5,2,0,W
74,92,4,17,0,h,10,8.8261,11,9,4,0,L
72,92,4,10,3,a,5,15.8125,10,9,2,0,W
77,93,2,6,1,h,2,10.1818,7,6,1,0,L
79,93,6,18,3,a,6,10.6667,7,6,2,0,W
84,94,6,19,2,h,4,6.2353,11,4,2,0,W
86,94,2,4,0,a,0,34.3333,8,4,1,1,L
82,95,7,13,2,h,1,10.125,15,4,2,0,D
85,95,7,15,2,a,5,11.6071,11,3,2,0,D
90,96,5,16,0,h,3,5.9524,13,2,1,0,D
76,96,0,6,0,a,4,11.5,10,4,2,0,D
81,97,3,10,1,h,10,6.375,11,8,1,1,L
75,97,5,10,2,a,5,15.0455,12,4,3,0,W
78,98,4,11,1,h,5,11.7083,14,6,1,0,L
83,98,7,20,2,a,15,6.9655,12,6,1,0,W
88,99,8,18,3,h,15,5.7273,19,5,4,0,W
80,99,3,10,0,a,6,6.6207,13,1,2,0,L
87,100,2,18,1,h,9,6.4138,11,6,1,0,W
73,100,2,13,0,a,6,10.0,18,8,4,0,L
89,101,8,20,0,h,12,4.7097,15,11,2,0,D
86,101,0,7,0,a,1,18.4375,11,5,2,0,D
79,102,7,20,1,h,4,9.6333,16,9,4,0,D
85,102,1,6,1,a,2,10.9286,5,0,1,0,D
77,103,2,10,1,h,2,10.1034,16,3,4,0,D
84,103,9,20,1,a,4,8.5789,9,4,2,0,D
78,104,6,16,2,h,9,8.1667,12,6,3,0,W
71,104,2,11,1,a,6,8.4762,15,4,3,0,L
75,105,2,13,1,h,5,15.5789,7,2,1,0,D
82,105,6,19,1,a,5,4.9474,14,7,4,0,D
81,106,4,10,3,h,3,9.9091,8,5,0,1,L
73,106,7,15,4,a,7,10.7222,11,4,0,0,W
76,107,6,15,2,h,4,14.8235,9,8,2,0,L
80,107,5,15,3,a,8,17.5,12,7,1,1,W
72,108,1,10,0,h,3,19.25,5,8,0,0,L
88,108,9,16,2,a,9,9.36,7,7,3,0,W
90,109,0,13,0,h,2,9.0455,10,5,0,0,D
74,109,5,14,0,a,2,7.4074,11,2,2,0,D
83,110,5,19,0,h,14,5.6154,2,7,1,0,D
87,110,8,15,0,a,9,10.4286,13,8,4,0,D
86,111,0,1,0,h,0,21.8235,15,0,6,1,L
83,111,9,22,1,a,15,5.5357,8,9,1,0,W
85,112,5,13,0,h,2,23.8889,4,6,1,2,L
76,112,5,15,1,a,8,8.9677,9,5,4,0,W
71,113,6,21,2,h,12,8.6364,10,5,2,0,D
77,113,3,7,2,a,3,7.35,14,4,1,0,D
73,114,2,5,1,h,4,7.05,9,4,2,0,D
75,114,2,4,1,a,6,5.1667,19,4,4,0,D
80,115,9,26,1,h,10,8.2,9,7,1,0,L
78,115,5,13,2,a,8,18.5,15,7,1,0,W
87,116,1,13,0,h,12,5.9655,17,5,3,1,L
81,116,5,12,3,a,1,12.0909,11,7,1,1,W
88,117,5,18,2,h,9,10.1429,9,9,1,0,W
90,117,0,7,0,a,1,20.4444,12,3,2,0,L
82,118,6,20,0,h,11,7.4375,20,6,4,0,D
72,118,3,8,0,a,6,18.5385,9,2,1,0,D
74,119,8,23,3,h,2,10.3333,4,6,0,0,W
79,119,1,6,0,a,2,25.5833,12,4,0,1,L
84,120,4,9,2,h,3,15.1739,6,0,2,0,W
89,120,4,11,1,a,9,6.8966,15,1,2,0,L
72,121,9,14,3,h,4,15.0476,12,7,2,0,W
80,121,2,15,1,a,7,7.6154,12,14,2,0,L
83,122,12,29,2,h,20,6.76,6,13,1,0,W
85,122,3,8,0,a,2,15.9048,13,1,1,0,L
78,123,2,10,0,h,2,8.625,13,4,2,0,L
88,123,7,21,1,a,8,8.5833,13,4,3,0,W
90,124,6,17,1,h,3,11.2593,11,1,1,1,W
84,124,3,8,0,a,8,6.7,14,3,1,0,L
76,125,1,8,0,h,5,20.4118,5,4,1,0,D
74,125,4,15,0,a,7,8.5556,5,5,0,0,D
79,126,4,12,3,h,7,9.9615,10,4,2,0,W
73,126,2,7,1,a,3,11.6316,11,4,3,0,L
89,127,3,9,3,h,4,9.7778,6,4,1,0,W
87,127,4,8,1,a,5,14.4762,11,4,2,0,L
77,128,2,12,0,h,4,12.0556,11,6,2,0,L
82,128,4,15,1,a,12,5.1724,12,8,1,0,W
75,129,6,21,3,h,11,7.1515,8,4,2,0,W
71,129,4,11,2,a,5,8.4091,13,5,1,0,L
81,130,3,17,2,h,4,11.72,8,6,0,0,W
86,130,4,14,0,a,4,8.2222,11,7,2,0,L
80,131,6,22,2,h,14,6.0938,12,5,3,0,W
83,131,2,9,0,a,5,13.1818,11,5,1,2,L
86,132,5,15,1,h,7,9.4444,8,5,1,0,L
90,132,4,13,2,a,10,7.5946,12,5,2,0,W
71,133,3,13,0,h,5,6.12,10,2,2,0,L
76,133,6,11,1,a,2,8.4138,11,7,3,0,W
73,134,5,15,2,h,7,8.5185,14,7,2,0,W
77,134,2,9,0,a,2,9.2692,15,3,4,1,L
85,135,4,11,2,h,2,6.9565,7,3,1,0,D
75,135,5,12,2,a,3,6.0,12,4,4,0,D
84,136,3,12,0,h,4,8.5769,12,2,2,0,D
72,136,2,17,0,a,12,9.0,11,4,2,1,D
88,137,8,27,1,h,15,3.6667,10,16,1,0,L
81,137,3,6,2,a,3,23.7692,7,3,2,0,W
82,138,6,21,1,h,10,5.1765,9,6,1,0,W
78,138,4,12,0,a,5,10.1739,11,5,2,0,L
74,139,8,15,2,h,7,17.45,6,5,2,0,L
89,139,3,10,3,a,4,12.2353,13,5,0,0,W
87,140,7,23,1,h,12,8.8636,4,6,1,0,D
79,140,2,7,1,a,3,15.1905,13,2,2,0,D
82,141,8,15,4,h,3,5.2895,17,5,5,0,W
88,141,8,22,1,a,17,10.9,6,9,1,0,L
74,142,6,17,3,h,10,11.7037,18,4,3,0,W
84,142,4,11,1,a,4,11.1111,14,3,1,0,L
85,143,5,8,2,h,3,10.4286,13,3,1,0,W
73,143,6,12,1,a,8,9.95,11,7,0,0,L
75,144,7,16,2,h,8,10.3333,9,6,1,0,L
83,144,12,27,5,a,17,6.7727,12,5,1,0,W
87,145,12,21,3,h,11,7.4138,8,11,0,0,W
71,145,4,10,2,a,2,26.4167,13,1,0,0,L
89,146,7,12,3,h,6,6.4286,12,5,0,0,W
77,146,4,9,0,a,1,22.0,17,2,3,0,L
81,147,7,19,2,h,9,9.0,7,7,0,0,D
79,147,7,16,2,a,3,6.7308,17,5,0,0,D
86,148,5,11,2,h,2,11.125,12,4,1,0,D
80,148,4,16,2,a,8,4.2,15,6,2,0,D
90,149,2,15,0,h,9,9.625,17,6,4,0,L
78,149,3,16,1,a,2,8.7727,22,4,4,0,W
76,150,4,9,2,h,6,11.0,9,6,0,0,L
72,150,4,12,3,a,5,9.6,8,4,3,0,W
78,151,8,21,2,h,3,4.2,14,8,3,0,W
76,151,2,7,0,a,1,10.5238,13,3,3,0,L
71,152,2,13,0,h,7,7.6333,12,9,1,0,L
85,152,5,12,1,a,3,8.3226,12,5,0,0,W
73,153,6,12,1,h,1,11.9444,8,5,1,0,D
